Database,Model & Query,Storage & Transactions,Scaling & HA,Performance,License & Cost
Memgraph,Property graph; Cypher (Neo4j-compatible)67. Supports dynamic schema.,"In-memory (delta-based) by default, with WAL+periodic snapshots8 (ACID); optional on-disk (RocksDB) mode. Fine-grained locking, MVCC9.",Vertical scale: MAIN node (writes) on a beefy server; Replication: 1 MAIN + 1-2 replicas via Raft (3 coordinators) for HA1. No auto-sharding – scale reads by replicas.,"Extremely low-latency traversals (sub-ms per hop), very high write throughput. Optimised for streaming; good single-machine OLTP. No built-in graph analytics engine (can implement in MAGE). Handles ~100M+ edges on a single 32GB node (est.).",Community (OSS) free. Enterprise/Cloud: pricing by RAM size10. Memgraph Cloud (AWS) offers 1–32 GB RAM instances; pay per RAM-hr. E.g. ~2×r6g.xlarge for 32GB ⇒ ~$5–6k/mo (infrastructure cost) plus storage. No per-query or per-IO charges10.
Neo4j (EE/Aura),"Labeled property graph; Cypher (extended). Supports multiple labels, indexes. ACID (RAFT cluster) with single leader.",Native disk storage (page cache + on-disk store). JVM-managed memory (~heap+pagecache). Full ACID (read-committed).,"Cluster: Causal Cluster (1 writer, ≥2 readers across AZs). Read replicas for scale. No automatic sharding (each instance holds full graph).",High throughput for complex traversals (index-free adjacency). Good for multi-hop OLTP. Includes Graph Data Science (OLAP) on Spark/parallel CPUs.,CE (GPL) free; Enterprise by cores or Aura (DBaaS). Aura charges ~O($0.1–0.4)/GB-hr memory. On-prem EE licensing ~$30–$50K per 4 cores/yr.
TigerGraph,Native parallel PG; GSQL (declarative/imperative) or openCypher. Schema-defined.,In-memory & disk hybrid (storage engine with WAL). ACID transactions (strong consistency)1.,Distributed MPP: Graph partitioned by hash.  Multi-node cluster; synchronous replication for HA.,"Extremely high throughput (billions of edges). Real-time OLTP and built-in parallel graph analytics (PageRank, etc.). Streaming ingestion (Kafka) supported. Scales linearly with nodes.","Free Community (single-machine). Cloud (TigerGraph Cloud): ~$1–16/hr per node11; e.g. TG-8 (64 vCPU,512GB) ≈$256/hr11. Enterprise (contact)."
Amazon Neptune,"Multi-model: Property graph (Gremlin, SPARQL; some Cypher support).",Data in a distributed storage volume (multi-AZ SSD). ACID MVCC; snapshot isolation for reads8.,"Managed AWS service: 1 writer, up to 15 reader replicas (multi-AZ, auto failover)1. No user sharding (single volume).",Good OLTP performance (ms latency) for Gremlin/SPARQL. Supports Neptune ML (Graph Neural Nets) for analytics.,"Pay per instance and storage: e.g. db.r6g.xlarge ~$2/hr, 1TB storage ~$102/mo12. I/O ~$0.20/million. Neptune Serverless available."
Azure Cosmos (Gremlin),Property graph via Gremlin API. JSON document storage underhood.,Multi-master or single-master. ACID within partition; tunable consistency. Automatic indexes on all properties.,Globally distributed: Geo-replication. Transparent sharding by partition key. Built-in multi-region writes.,Good for massive read workloads. Throughput priced by RU/s. No native graph analytics (use Azure Synapse Link).,Provisioned throughput + storage: ~$0.008 per 100RU/s/hr13. Eg. 10k RU/s ≈$576/mo13. Storage ~$0.25/GB-mo.
JanusGraph,Property graph (Apache TinkerPop/Gremlin).,"Backend-dependent: e.g. Cassandra/HBase for storage, Elastic/Solr for indexes. Writes are ACID at row-level only (no cross-shard TX without locks)14.",Uses underlying DB’s sharding (Cassandra partitioning). Replication via backend (Cassandra RF). No built-in cluster API (stateless graph servers).,Scales to very large graphs (billions of vertices) given enough nodes. OLTP throughput depends on backend (Cassandra excels at writes). No native OLAP engine (use Giraph/Spark).,Apache 2.0 open-source. No license cost; TCO is hardware & ops. Often deployed on cloud VMs or managed Cassandra.
ArangoDB,"Multi-model (documents, key-values, graph). Query by AQL (SQL-like).",RocksDB storage (default). ACID at single-shard; cluster mode uses Raft for shard replication.,Cluster mode: Collection shards; SmartGraphs (co-locate related shards). Shards replicate via Raft.,Good general performance; supports graph traversals but not MPP. Has integrated search (ArangoSearch) and Foxx microservices.,Community (Apache) free; Enterprise edition subscription. ArangoDB Oasis (cloud) pay-per-use (roughly VM+storage cost).
Dgraph,Native PG (triple store). Query: GraphQL+ and DQL (SQL-like).,"Badger KV storage (distributed, shared-nothing). ACID across cluster via MVCC + Raft15.",Sharded cluster: Data split by predicate into tablets. Each group is Raft-replicated (3+ nodes).,High OLTP throughput; sub-ms lookups (predicate/UID tables) with eventual full-graph consistency. Modern ML-friendly (GraphQL).,"Community free (BSL legacy, now Apache). Dgraph Cloud (limited). Infra cost (3-5 nodes)."
RedisGraph,Property graph module in Redis. Uses Cypher subset.,"In-memory only (requires persistence snapshots/AOF). Single writer per graph (Redis lock), multi-reader.",Scaling: Via Redis Cluster/Eenterprise (graph not natively sharded). Replication via Redis (master-replica).,Very fast traversals for small graphs (shallow depth). Mostly for sub-ms OLTP queries. Poor for deep or massive graphs. EOL Jan 202516.,Redis (OSS) plus RedisGraph (RSALv2). In AWS use MemoryDB: e.g. 2×r6g.xlarge (16GB) at ~$0.865/hr17. Cost dominated by RAM.
Amazon MemoryDB,Managed Redis (in-memory). Can host RedisGraph (module).,Data in RAM with AOF/AOF persistence. ACID-like with snapshots.,Managed: Multi-AZ Redis cluster (primary+replicas).,Ultra-low-latency (<1ms) key/graph ops. Ideal for caching graph data.,Pay per node-hour: r6g.xlarge ~$0.432/hr. For 16GB * 2 nodes ≈$630/mo17.
